Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(бу)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2076-28-187 8:0:5.794	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.86	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:5.920	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:5.920	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:6.10	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:6.10	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:6.115	0.0	0.0	1.0156	0.0	0.0	0.0	0.253	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:6.115	0.0	0.0	1.0156	0.0	0.0	0.0	0.253	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:6.190	-0.0005	0.0	1.0151	0.0	0.0	0.0	0.253	-1.637	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:6.190	-0.0005	0.0	1.0151	0.0	0.0	0.0	0.253	-1.637	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:6.314	0.0	0.0	1.0151	0.0	0.0	0.0	0.253	-1.642	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:6.314	0.0	0.0	1.0151	0.0	0.0	0.0	0.253	-1.642	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:6.420	0.0	0.0	1.0156	0.0	0.0	0.0	0.253	-1.637	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:6.420	0.0	0.0	1.0156	0.0	0.0	0.0	0.253	-1.637	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:6.509	0.0	0.0	1.0151	0.0	0.0	0.0	0.258	-1.642	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:6.509	0.0	0.0	1.0151	0.0	0.0	0.0	0.258	-1.642	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:6.584	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:6.584	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:6.715	0.0	0.0	1.0142	0.0	0.0	0.0	0.258	-1.642	68.236	28.94	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:6.715	0.0	0.0	1.0142	0.0	0.0	0.0	0.258	-1.642	68.236	28.94	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:6.814	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:6.814	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:6.895	0.0	0.0	1.0151	0.0	0.0	0.0	0.258	-1.637	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:6.895	0.0	0.0	1.0151	0.0	0.0	0.0	0.258	-1.637	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:7.20	0.0	0.0	1.0151	0.0	0.0	0.0	0.258	-1.637	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:7.20	0.0	0.0	1.0151	0.0	0.0	0.0	0.258	-1.637	68.236	28.89	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:7.74	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.637	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:7.74	0.0	0.0	1.0156	0.0	0.0	0.0	0.258	-1.637	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:7.209	0.0	0.0	1.0151	0.0	0.0	0.0	0.264	-1.637	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:7.209	0.0	0.0	1.0151	0.0	0.0	0.0	0.264	-1.637	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:7.289	0.0005	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:7.289	0.0005	0.0	1.0156	0.0	0.0	0.0	0.258	-1.642	68.236	28.91	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:7.415	0.0	0.0	1.0151	0.0	0.0	0.0	0.264	-1.642	68.236	28.88	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:7.415	0.0	0.0	1.0151	0.0	0.0	0.0	0.264	-1.642	68.236	28.88	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:7.504	-0.0005	0.0	1.0146	0.0	0.0	0.0	0.258	-1.642	68.236	28.86	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:7.504	-0.0005	0.0	1.0146	0.0	0.0	0.0	0.258	-1.642	68.236	28.86	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:7.610	-0.0005	0.0	1.0151	0.0	0.0	0.0	0.264	-1.637	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
 2076-28-187 8:0:7.610	-0.0005	0.0	1.0151	0.0	0.0	0.0	0.264	-1.637	68.236	28.92	None	None	None	0.0	0.0	0.0	0.0	None	None	None	None
