Time,X,Y,Z
5.478,0.16213,-0.16721,-0.34053
5.488,0.15058,-0.18196,-0.33691
5.497,0.14058,-0.19622,-0.33116
5.506,0.13204,-0.21085,-0.32394
5.516,0.12601,-0.22444,-0.31522
5.525,0.11959,-0.23574,-0.30627
5.535,0.11453,-0.24657,-0.29839
5.544,0.11047,-0.25701,-0.29011
5.554,0.10693,-0.26666,-0.28415
5.563,0.10486,-0.27423,-0.27943
5.573,0.10282,-0.27959,-0.27602
5.582,0.10197,-0.28346,-0.27399
5.592,0.10328,-0.28586,-0.27168
5.601,0.10578,-0.28794,-0.27036
5.611,0.11089,-0.2899,-0.26888
5.62,0.1156,-0.29143,-0.26688
5.63,0.11898,-0.29317,-0.26559
5.639,0.12201,-0.29485,-0.26403
5.649,0.12264,-0.29619,-0.26219
5.658,0.12335,-0.29783,-0.25948
5.668,0.1245,-0.30092,-0.25618
5.677,0.12537,-0.30616,-0.25013
5.686,0.12696,-0.3132,-0.24153
5.696,0.12939,-0.32151,-0.23073
5.705,0.13114,-0.33045,-0.21771
5.715,0.13293,-0.33912,-0.20361
5.734,0.13752,-0.35584,-0.16985
5.743,0.1396,-0.36313,-0.15043
5.753,0.14229,-0.36946,-0.12989
5.762,0.14407,-0.37494,-0.10899
5.772,0.14446,-0.37909,-0.0904
5.781,0.14493,-0.38243,-0.07482
5.791,0.14606,-0.38527,-0.06148
5.8,0.14682,-0.38655,-0.04988
5.81,0.14862,-0.38735,-0.04047
5.819,0.15106,-0.38726,-0.03171
5.829,0.15421,-0.38742,-0.02284
5.838,0.15701,-0.38727,-0.01362
5.848,0.16041,-0.38684,-0.00403
5.857,0.16334,-0.38537,0.0072
5.866,0.16557,-0.38464,0.0196
5.876,0.16784,-0.3829,0.03195
5.885,0.1699,-0.38113,0.04572
5.895,0.17097,-0.37895,0.06023
5.904,0.17269,-0.37648,0.07532
5.913,0.17491,-0.37314,0.09197
5.923,0.17632,-0.36988,0.1
5.932,0.17905,-0.36621,0.12835
5.941,0.18148,-0.362,0.14407
5.951,0.18431,-0.35606,0.1597
5.96,0.18739,-0.34845,0.17397
5.97,0.19104,-0.33899,0.18877
5.979,0.19249,-0.3276,0.2033
5.988,0.1936,-0.31501,0.21721
5.998,0.19436,-0.3023,0.22887
6.007,0.19465,-0.29025,0.23811
6.016,0.19565,-0.27952,0.24518
6.035,0.19965,-0.26194,0.25356
6.045,0.20456,-0.25462,0.25497
6.054,0.20871,-0.24829,0.25536
6.063,0.21408,-0.24289,0.2549
6.073,0.21796,-0.23817,0.25393
6.082,0.22094,-0.23385,0.25358
6.091,0.22264,-0.22983,0.25371
6.101,0.22399,-0.22717,0.25372
6.11,0.22563,-0.22465,0.25423
6.12,0.22677,-0.22164,0.25554
6.129,0.23012,-0.21791,0.25685
6.138,0.23358,-0.21503,0.25825
6.148,0.23737,-0.21182,0.25948
6.157,0.24163,-0.20773,0.2612
6.166,0.24529,-0.20365,0.26356
6.176,0.249,-0.19839,0.26599
6.185,0.25282,-0.19369,0.26808
6.195,0.25676,-0.18845,0.27065
6.204,0.26103,-0.1835,0.27275
6.213,0.26458,-0.17849,0.27473
6.223,0.26709,-0.17423,0.27712
6.232,0.26918,-0.16979,0.27971
6.242,0.27057,-0.16567,0.28233
6.251,0.27179,-0.16124,0.28419
6.26,0.27396,-0.15679,0.28741
6.27,0.27536,-0.15083,0.29084
6.279,0.27658,-0.1453,0.29438
6.289,0.27778,-0.13923,0.29768
6.298,0.27919,-0.13252,0.30087
6.307,0.27976,-0.126,0.30422
6.317,0.28004,-0.12008,0.30759
6.335,0.28039,-0.10733,0.31484
6.345,0.28075,-0.10025,0.31816
6.354,0.281,-0.09168,0.32152
6.364,0.28264,-0.0823,0.32531
6.373,0.28463,-0.07192,0.32796
6.382,0.28656,-0.06177,0.32999
6.392,0.28794,-0.04997,0.33305
6.401,0.28904,-0.03726,0.33572
6.41,0.28926,-0.02336,0.33876
6.42,0.2881,-0.0081,0.34218
6.429,0.28626,0.00989,0.34513
6.438,0.28457,0.02557,0.34812
6.448,0.28235,0.03858,0.35102
6.457,0.2804,0.04866,0.35434
6.466,0.27805,0.05811,0.35687
6.476,0.27631,0.06658,0.35914
6.485,0.27419,0.07603,0.36079
6.494,0.27204,0.08559,0.36189
6.503,0.27021,0.09641,0.36326
6.513,0.26841,0.10702,0.36382
6.522,0.26607,0.11894,0.36295
6.531,0.26487,0.13117,0.36185
6.54,0.26335,0.14393,0.3598
6.55,0.26093,0.15715,0.3575
6.559,0.25886,0.17076,0.35381
6.568,0.25596,0.18483,0.34941
6.578,0.2506,0.19894,0.34425
6.587,0.24522,0.21372,0.33886
