Time,X,Y,Z,Magnitude,Filtered Magnitude,Timestamp
2.271000,0.487370,0.440690,0.359200,0.748840,0.749431,2025-02-05 05:00:33.161
2.281000,0.487570,0.440490,0.358700,0.748613,0.749341,2025-02-05 05:00:33.161
2.290000,0.488020,0.440730,0.358650,0.749024,0.749305,2025-02-05 05:00:33.189
2.299000,0.487640,0.440750,0.358980,0.748946,0.749203,2025-02-05 05:00:33.189
2.309000,0.487600,0.441170,0.358930,0.749143,0.749121,2025-02-05 05:00:33.189
2.318000,0.488130,0.441210,0.358670,0.749387,0.749053,2025-02-05 05:00:33.217
2.327000,0.487330,0.440960,0.358980,0.748868,0.748989,2025-02-05 05:00:33.217
2.336000,0.487890,0.440440,0.359010,0.748941,0.748970,2025-02-05 05:00:33.217
2.346000,0.487090,0.440640,0.358850,0.748461,0.748930,2025-02-05 05:00:33.245
2.355000,0.487220,0.440320,0.359250,0.748549,0.748877,2025-02-05 05:00:33.245
2.364000,0.487880,0.440210,0.359040,0.748813,0.748874,2025-02-05 05:00:33.245
2.374000,0.488160,0.440110,0.358850,0.748846,0.748898,2025-02-05 05:00:33.273
2.383000,0.487980,0.440520,0.358750,0.748922,0.748888,2025-02-05 05:00:33.273
2.392000,0.487420,0.440810,0.358820,0.748761,0.748869,2025-02-05 05:00:33.273
2.402000,0.487580,0.440510,0.358740,0.748651,0.748820,2025-02-05 05:00:33.301
2.411000,0.486950,0.440480,0.358900,0.748300,0.748711,2025-02-05 05:00:33.301
2.420000,0.487210,0.440640,0.358840,0.748534,0.748678,2025-02-05 05:00:33.301
2.429000,0.486690,0.439900,0.358490,0.747592,0.748543,2025-02-05 05:00:33.329
2.439000,0.487070,0.440000,0.358710,0.748004,0.748497,2025-02-05 05:00:33.329
2.448000,0.487330,0.440760,0.358820,0.748673,0.748510,2025-02-05 05:00:33.329
2.457000,0.487460,0.440330,0.358660,0.748428,0.748471,2025-02-05 05:00:33.357
2.467000,0.487370,0.440540,0.358980,0.748647,0.748451,2025-02-05 05:00:33.357
2.476000,0.487680,0.440980,0.358840,0.749040,0.748463,2025-02-05 05:00:33.357
2.485000,0.488040,0.440770,0.358830,0.749146,0.748502,2025-02-05 05:00:33.384
2.494000,0.487530,0.440840,0.359000,0.748937,0.748530,2025-02-05 05:00:33.384
2.504000,0.487700,0.440680,0.359180,0.749040,0.748604,2025-02-05 05:00:33.384
2.513000,0.487610,0.440580,0.358950,0.748812,0.748632,2025-02-05 05:00:33.412
2.522000,0.487810,0.440650,0.359180,0.749094,0.748782,2025-02-05 05:00:33.412
2.532000,0.487830,0.440570,0.359370,0.749151,0.748897,2025-02-05 05:00:33.412
2.541000,0.487510,0.440820,0.359560,0.749181,0.748947,2025-02-05 05:00:33.440
2.550000,0.487160,0.440840,0.358990,0.748691,0.748974,2025-02-05 05:00:33.440
2.560000,0.487870,0.441180,0.359180,0.749445,0.749054,2025-02-05 05:00:33.440
2.569000,0.487840,0.441210,0.359370,0.749534,0.749103,2025-02-05 05:00:33.468
2.578000,0.487300,0.441380,0.359220,0.749211,0.749109,2025-02-05 05:00:33.468
2.587000,0.487240,0.441150,0.359200,0.749027,0.749118,2025-02-05 05:00:33.468
2.597000,0.487450,0.440960,0.359200,0.749051,0.749120,2025-02-05 05:00:33.496
2.606000,0.487580,0.441270,0.359120,0.749280,0.749166,2025-02-05 05:00:33.496
2.615000,0.487810,0.441220,0.359190,0.749434,0.749200,2025-02-05 05:00:33.496
2.625000,0.488480,0.441300,0.359030,0.749841,0.749269,2025-02-05 05:00:33.524
2.634000,0.488010,0.441220,0.359020,0.749483,0.749300,2025-02-05 05:00:33.524
2.643000,0.488390,0.440710,0.359270,0.749550,0.749385,2025-02-05 05:00:33.524
