Time,X,Y,Z
4.783,0.12234,-0.23392,0.22509
4.793,0.12256,-0.23385,0.22511
4.802,0.12237,-0.23367,0.22545
4.811,0.12321,-0.23382,0.22515
4.821,0.12265,-0.23334,0.22511
4.83,0.1227,-0.23354,0.22478
4.84,0.1226,-0.23322,0.22491
4.849,0.12248,-0.23361,0.22576
4.858,0.1229,-0.23423,0.22551
4.868,0.12284,-0.2343,0.22532
4.877,0.12283,-0.2338,0.22555
4.886,0.12251,-0.23325,0.22558
4.896,0.12247,-0.23361,0.22533
4.905,0.12215,-0.23348,0.22564
4.915,0.12244,-0.23397,0.22533
4.924,0.12301,-0.23352,0.22564
4.933,0.12285,-0.23339,0.22542
4.943,0.12261,-0.23321,0.22548
4.952,0.12195,-0.23353,0.22515
4.961,0.12231,-0.23364,0.22545
4.971,0.12245,-0.23374,0.2254
4.98,0.12236,-0.23391,0.22539
4.99,0.12311,-0.23368,0.22497
4.999,0.12275,-0.23374,0.22543
5.008,0.12304,-0.23375,0.22582
5.018,0.12306,-0.23358,0.22552
5.027,0.12318,-0.23373,0.2254
5.036,0.12308,-0.23366,0.22531
5.046,0.12264,-0.23349,0.22505
5.055,0.1227,-0.23339,0.22544
5.065,0.12271,-0.23304,0.22531
5.074,0.1226,-0.23317,0.2253
5.083,0.12281,-0.23352,0.22513
5.093,0.12283,-0.23364,0.22528
5.102,0.12304,-0.23357,0.2253
5.111,0.12263,-0.23365,0.22505
5.121,0.12302,-0.23415,0.22569
5.13,0.12296,-0.23354,0.22551
5.139,0.12273,-0.23423,0.22566
5.149,0.12271,-0.23338,0.22601
5.158,0.12217,-0.23388,0.22571
5.168,0.12266,-0.23418,0.22551
5.177,0.12195,-0.23429,0.22532
5.186,0.1222,-0.2338,0.22572
5.196,0.12212,-0.2335,0.22593
5.205,0.12276,-0.23364,0.22545
5.214,0.12261,-0.23348,0.2254
5.224,0.12248,-0.23339,0.22531
5.233,0.12258,-0.23329,0.22513
5.243,0.12216,-0.23312,0.22562
5.252,0.12276,-0.23318,0.22584
5.261,0.12218,-0.23352,0.22535
5.271,0.12287,-0.23347,0.2253
5.28,0.12273,-0.23397,0.22538
5.289,0.12282,-0.23369,0.22522
5.299,0.12283,-0.23307,0.22546
5.308,0.12272,-0.23334,0.2254
5.318,0.12282,-0.23371,0.22548
5.327,0.1225,-0.23358,0.22548
5.336,0.12226,-0.23381,0.2254
5.346,0.12245,-0.234,0.22531
5.355,0.12247,-0.23377,0.22513
5.364,0.12247,-0.23375,0.22537
5.374,0.12182,-0.23375,0.22505
5.383,0.1224,-0.23383,0.22511
5.392,0.12246,-0.23359,0.22503
5.402,0.12247,-0.23365,0.22527
5.411,0.12279,-0.23374,0.22546
5.421,0.12272,-0.23375,0.22523
5.43,0.12271,-0.234,0.22529
5.439,0.12271,-0.23377,0.22513
5.449,0.12303,-0.23408,0.2252
5.458,0.12274,-0.23411,0.22504
5.467,0.12293,-0.23412,0.22527
5.477,0.12262,-0.23412,0.2253
5.486,0.12259,-0.23387,0.22547
5.496,0.1227,-0.23376,0.22565
5.505,0.1226,-0.234,0.22508
5.514,0.12281,-0.23335,0.22511
5.524,0.1225,-0.23404,0.22511
5.533,0.12204,-0.23403,0.22511
5.542,0.12221,-0.23386,0.22511
5.552,0.12266,-0.23401,0.2257
5.561,0.12227,-0.23344,0.22568
5.57,0.12234,-0.23321,0.2255
5.58,0.12235,-0.23328,0.22574
5.589,0.12257,-0.23387,0.22509
5.599,0.12226,-0.23384,0.22545
5.608,0.12256,-0.23384,0.22599
5.617,0.12183,-0.23359,0.2257
5.627,0.12241,-0.23373,0.225
5.636,0.12289,-0.23391,0.22535
5.645,0.12305,-0.2336,0.22556
5.655,0.12264,-0.2334,0.22524
5.664,0.12249,-0.23296,0.22487
5.674,0.12247,-0.23292,0.22526
5.683,0.12247,-0.23383,0.22513
